"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
8,-0.459092482256,8,-1.21336362861
8.02,-0.431102250266,8.02,-0.905471076718
8.04,-0.0392390024029,8.04,-0.877480844728
8.06,-0.235170626335,8.06,-0.905471076718
8.08,-0.0952194663834,8.08,-0.737529684777
8.1,0.212673085509,8.1,-0.569588292835
8.12,0.072721925558,8.12,-0.709539452786
8.14,0.156692621529,8.14,-0.345666436913
8.16,0.688507029343,8.16,-0.457627364874
8.18,0.632526565363,8.18,-0.233705508952
8.2,0.548555869392,8.2,0.0461968109499
8.22,0.744487493324,8.22,0.0461968109499
8.24,0.464585173421,8.24,0.158157738911
8.26,0.968409349245,8.26,0.438060058813
8.28,0.912428885265,8.28,0.382079594833
8.3,1.1083605092,8.3,0.829923306676
8.32,0.912428885265,8.32,0.829923306676
8.34,1.13635074119,8.34,0.801933074686
8.36,1.19233120517,8.36,0.997864698618
8.38,1.27630190114,8.38,1.16580609056
8.4,1.1083605092,8.4,1.3337474825
8.42,1.13635074119,8.42,1.24977678653
8.44,1.16434097318,8.44,1.10982562658
8.46,1.13635074119,8.46,1.50168887444
8.48,1.1083605092,8.48,1.50168887444
8.5,1.08037027721,8.5,1.66963026638
8.52,1.02438981323,8.52,1.6136498024
8.54,1.08037027721,8.54,1.75360096235
8.56,1.1083605092,8.56,1.6136498024
8.58,1.16434097318,8.58,1.72561073036
8.6,1.27630190114,8.6,1.9215423543
8.62,1.22032143716,8.62,1.89355212231
8.64,1.19233120517,8.64,1.89355212231
8.66,1.19233120517,8.66,1.83757165832
8.68,1.13635074119,8.68,1.83757165832
8.7,1.02438981323,8.7,1.80958142633
8.72,0.576546101382,8.72,1.80958142633
8.74,0.884438653275,8.74,1.80958142633
8.76,0.688507029343,8.76,1.75360096235
8.78,0.856448421284,8.78,1.78159119434
8.8,0.940419117255,8.8,1.64164003439
8.82,0.800467957304,8.82,1.72561073036
8.84,0.436594941431,8.84,1.52967910643
8.86,0.26865354949,8.86,1.30575725051
8.88,0.408604709441,8.88,1.36173771449
8.9,0.128702389538,8.9,1.16580609056
8.92,-0.291151090315,8.92,1.27776701852
8.94,-0.207180394344,8.94,1.0538451626
8.96,-0.207180394344,8.96,0.745952610706
8.98,-0.0672292343932,8.98,0.941884234637
9,-0.347131554295,9,0.550020986774
9.02,-0.347131554295,9.02,0.606001450755
9.04,-0.515072946237,9.04,0.438060058813
9.06,-1.04688735405,9.06,0.494040522794
9.08,-0.738994802159,9.08,0.10217727493
9.1,-1.04688735405,9.1,0.0461968109499
9.12,-0.599043642208,9.12,-0.0937543490012
9.14,-1.15884828201,9.14,-0.0937543490012
9.16,-0.85095573012,9.16,-0.513607828855
9.18,-1.41076036992,9.18,-0.513607828855
9.2,-1.27080920997,9.2,-0.541598060845
9.22,-0.85095573012,9.22,-0.709539452786
9.24,-1.4667408339,9.24,-0.653558988806
9.26,-1.32678967395,9.26,-0.821500380747
9.28,-1.04688735405,9.28,-0.877480844728
9.3,-1.63468222585,9.3,-0.905471076718
9.32,-1.32678967395,9.32,-1.04542223667
9.34,-1.66267245784,9.34,-1.21336362861
9.36,-1.63468222585,9.36,-1.21336362861
9.38,-1.57870176187,9.38,-1.5212561805
9.4,-1.63468222585,9.4,-1.54924641249
9.42,-1.74664315381,9.42,-3.28464079589
9.44,-1.74664315381,9.44,-2.13704128429
9.46,-1.7746333858,9.46,-1.91311942837
9.48,-1.80262361779,9.48,-1.80115850041
9.5,-1.63468222585,9.5,-1.94110966036
9.52,-1.91458454575,9.52,-1.8291487324
9.54,-1.71865292182,9.54,-1.74517803642
9.56,-1.41076036992,9.56,-1.85713896439
9.58,-1.74664315381,9.58,-1.94110966036
9.6,-1.57870176187,9.6,-1.85713896439
9.62,-1.41076036992,9.62,-1.8291487324
9.64,-1.21482874599,9.64,-1.88512919638
9.66,-1.15884828201,9.66,-1.88512919638
9.68,-1.4667408339,9.68,-1.63321710846
9.7,-1.21482874599,9.7,-1.85713896439
9.72,-1.186838514,9.72,-1.57723664448
9.74,-1.10286781803,9.74,-1.43728548453
9.76,-0.683014338178,9.76,-1.40929525254
9.78,-1.07487758604,9.78,-0.905471076718
9.8,-0.766985034149,9.8,-2.30498267623
9.82,-1.21482874599,9.82,-1.60522687647
9.84,0.128702389538,9.84,-1.12939293264
9.86,-0.990906890071,9.86,-1.26934409259
9.88,-0.123209698374,9.88,-1.01743200468
9.9,-0.319141322305,9.9,-0.709539452786
9.92,-0.179190162354,9.92,-0.849490612737
9.94,-0.235170626335,9.94,-0.485617596864
9.96,-0.179190162354,9.96,-0.765519916767
9.98,0.0447316935678,9.98,-0.597578524825
10,0.212673085509,10,-0.205715276962
10.02,0.772477725314,10.02,-0.0377738850208
10.04,0.380614477451,10.04,-0.177725044972
10.06,0.520565637402,10.06,-0.0377738850208
10.08,0.688507029343,10.08,0.10217727493
10.1,0.660516797353,10.1,0.298108898862
10.12,0.884438653275,10.12,0.326099130852
10.14,0.968409349245,10.14,0.522030754784
10.16,0.744487493324,10.16,0.606001450755
10.18,0.912428885265,10.18,0.606001450755
10.2,0.940419117255,10.2,0.829923306676
10.22,1.08037027721,10.22,0.857913538667
10.24,1.13635074119,10.24,0.941884234637
10.26,1.19233120517,10.26,1.0538451626
10.28,1.19233120517,10.28,1.02585493061
10.3,1.50022375706,10.3,1.08183539459
10.32,1.47223352507,10.32,1.19379632255
10.34,1.55620422104,10.34,1.30575725051
10.36,1.50022375706,10.36,1.58565957041
10.38,1.41625306109,10.38,1.72561073036
10.4,1.3882628291,10.4,1.75360096235
10.42,1.33228236512,10.42,1.86556189032
10.44,1.30429213313,10.44,1.75360096235
10.46,1.30429213313,10.46,1.55766933842
10.48,1.36027259711,10.48,1.58565957041
10.5,1.24831166915,10.5,1.6136498024
10.52,1.41625306109,10.52,1.64164003439
10.54,1.47223352507,10.54,1.6136498024
10.56,1.22032143716,10.56,1.66963026638
10.58,1.02438981323,10.58,1.64164003439
10.6,1.30429213313,10.6,1.55766933842
10.62,1.1083605092,10.62,1.58565957041
10.64,0.884438653275,10.64,1.52967910643
10.66,0.828458189294,10.66,1.41771817847
10.68,0.688507029343,10.68,1.50168887444
10.7,0.576546101382,10.7,1.36173771449
10.72,0.688507029343,10.72,1.16580609056
10.74,0.29664378148,10.74,1.16580609056
