"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
3.98,0.436594941431,3.98,-2.27699244424
4,0.828458189294,4,-2.27699244424
4.02,1.08037027721,4.02,-2.44493383618
4.04,1.13635074119,4.04,-2.50091430016
4.06,1.30429213313,4.06,-2.16503151628
4.08,1.50022375706,4.08,-2.3889533722
4.1,0.828458189294,4.1,-2.08106082031
4.12,1.72414561298,4.12,-2.27699244424
4.14,1.78012607696,4.14,-2.13704128429
4.16,1.97605770089,4.16,-1.99709012434
4.18,2.14399909284,4.18,-1.91311942837
4.2,2.2559600208,4.2,-1.57723664448
4.22,2.11600886084,4.22,-1.96909989235
4.24,2.42390141274,4.24,-1.66120734045
4.26,2.36792094876,4.26,-1.38130502055
4.28,2.42390141274,4.28,-0.317676204923
4.3,2.45189164473,4.3,-1.85713896439
4.32,2.50787210871,4.32,-1.71718780443
4.34,2.42390141274,4.34,-1.35331478856
4.36,2.42390141274,4.36,-0.961451540698
4.38,2.39591118075,4.38,-0.821500380747
4.4,2.56385257269,4.4,-0.765519916767
4.42,2.59184280468,4.42,-0.877480844728
4.44,2.42390141274,4.44,-0.401646900894
4.46,1.97605770089,4.46,-0.597578524825
4.48,2.03203816487,4.48,-0.00978365303054
4.5,2.22796978881,4.5,0.270118666872
4.52,2.2559600208,4.52,0.214138202891
4.54,2.14399909284,4.54,0.438060058813
4.56,2.08801862885,4.56,0.550020986774
4.58,1.668165149,4.58,0.410069826823
4.6,1.50022375706,4.6,1.02585493061
4.62,1.27630190114,4.62,1.08183539459
4.64,1.36027259711,4.64,1.22178655454
4.66,0.800467957304,4.66,1.41771817847
4.68,1.47223352507,4.68,1.19379632255
4.7,1.05238004522,4.7,1.47369864245
4.72,0.744487493324,4.72,1.66963026638
4.74,0.856448421284,4.74,2.11747397823
4.76,0.688507029343,4.76,2.00551305027
4.78,0.184682853519,4.78,2.08948374624
4.8,-0.0392390024029,4.8,2.17345444221
4.82,-0.151199930364,4.82,2.11747397823
4.84,-0.179190162354,4.84,2.11747397823
4.86,-0.487082714247,4.86,2.22943490619
4.88,-0.459092482256,4.88,2.14546421022
4.9,-0.85095573012,4.9,2.22943490619
4.92,-0.655024106188,4.92,2.31340560216
4.94,-1.07487758604,4.94,2.25742513818
4.96,-1.32678967395,4.96,2.2014446742
